"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"4069","3423-HHXAO","Female","No","Yes","Yes",14,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.5,272,"No","12-18","15-30","<1000",0
"4070","9938-TKDGL","Male","No","Yes","Yes",68,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Electronic check",99.55,6668,"No","60+","95+","6000+",0
"4071","0531-ZZJWQ","Male","Yes","Yes","No",55,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74,4052.4,"No","25-60","70-80","4000-6000",0
"4073","2688-BHGOG","Male","Yes","No","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.55,718.55,"No","7-11","70-80","<1000",0
"4074","7683-CBDKJ","Male","No","Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",65.45,937.6,"Yes","12-18","45-70","<1000",1
"4075","0946-CLJTI","Male","Yes","Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.7,5812.6,"Yes","25-60","95+","4000-6000",1
"4077","1325-USMEC","Male","No","Yes","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Credit card (automatic)",99.35,6944.5,"No","60+","95+","6000+",0
"4078","0916-QOFDP","Female","Yes","Yes","Yes",14,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.8,1346.3,"No","12-18","95+","1000-2000",0
"4079","0628-CNQRM","Male","No","Yes","Yes",22,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",67.5,1544.05,"Yes","19-24","45-70","1000-2000",1
"4080","5606-AMZBO","Female","No","Yes","No",10,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.15,765.15,"No","7-11","70-80","<1000",0
"4081","6199-IPCAO","Female","No","Yes","Yes",29,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",26.1,692.55,"No","25-60","15-30","<1000",0
"4082","7665-TOALD","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,"Yes","< 3","45-70","<1000",1
"4083","0112-QWPNC","Male","No","Yes","No",49,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Electronic check",84.35,4059.35,"Yes","25-60","80-95","4000-6000",1
"4084","0324-BRPCJ","Female","Yes","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.2,6851.65,"Yes","60+","95+","6000+",1
"4085","2777-PHDEI","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",78.05,78.05,"Yes","< 3","70-80","<1000",1
"4087","2235-EZAIK","Female","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",79.2,5401.9,"No","60+","70-80","4000-6000",0
"4088","3847-BAERP","Female","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.9,247,"No","7-11","15-30","<1000",0
"4089","1196-AMORA","Male","No","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",73.6,520,"Yes","7-11","70-80","<1000",1
"4090","4282-YMKNA","Female","No","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.75,706.6,"Yes","7-11","70-80","<1000",1
"4091","1453-RZFON","Female","No","No","Yes",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",49.9,49.9,"No","< 3","45-70","<1000",0
"4092","8263-OKETD","Female","No","No","No",20,"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",68.9,1370.35,"No","19-24","45-70","1000-2000",0
"4093","0670-KDOMA","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.25,20.25,"No","< 3","15-30","<1000",0
"4094","2476-YGEFM","Female","No","No","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",76,2215.25,"No","25-60","70-80","2000-4000",0
"4095","8687-BAFGU","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74,74,"No","< 3","70-80","<1000",0
"4096","0641-EVBOJ","Male","No","No","No",3,"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",82.3,214.4,"No","3-6","80-95","<1000",0
"4097","0829-XXPLX","Female","No","No","No",20,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.4,1871.15,"No","19-24","80-95","1000-2000",0
"4098","9974-JFBHQ","Male","No","No","Yes",64,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.15,6171.2,"No","60+","95+","6000+",0
"4099","5356-RHIPP","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.2,20.2,"Yes","< 3","15-30","<1000",1
"4101","0608-JDVEC","Male","No","Yes","No",50,"Yes","No","No","No","No","No","No","No","No","Two year","No","Electronic check",19.8,1013.2,"No","25-60","15-30","1000-2000",0
"4102","9780-FKVVF","Male","No","No","No",6,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.15,336.7,"No","3-6","45-70","<1000",0
"4103","1919-RTPQD","Male","No","Yes","Yes",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.75,333.65,"No","7-11","30-45","<1000",0
"4104","5214-NLTIT","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",90.8,6511.8,"No","60+","80-95","6000+",0
"4105","3345-PBBFH","Male","No","Yes","No",8,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.55,393.45,"No","7-11","45-70","<1000",0
"4106","5055-BRMNE","Female","No","Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",106.7,7009.5,"No","60+","95+","6000+",0
"4107","9189-JWSHV","Female","Yes","Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.55,2264.05,"Yes","19-24","80-95","2000-4000",1
"4108","2190-PHBHR","Female","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Two year","Yes","Credit card (automatic)",94.45,6921.7,"No","60+","80-95","6000+",0
"4109","2650-GYRYL","Male","No","Yes","Yes",33,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",19.45,600.25,"No","25-60","15-30","<1000",0
"4111","5208-FVQKB","Male","No","Yes","No",70,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Two year","No","Mailed check",67.95,4664.15,"No","60+","45-70","4000-6000",0
"4112","7184-LRUUR","Female","No","No","No",22,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",65.25,1441.8,"No","19-24","45-70","1000-2000",0
"4113","6627-CFOSN","Female","No","No","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.45,5623.7,"No","25-60","95+","4000-6000",0
"4114","3982-JGSFD","Male","No","No","No",36,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.35,695.85,"No","25-60","15-30","<1000",0
"4115","1574-DYCWE","Female","No","Yes","Yes",51,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.95,1028.75,"No","25-60","15-30","1000-2000",0
"4116","7247-XOZPB","Male","No","Yes","No",53,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",77.4,4155.95,"No","25-60","70-80","4000-6000",0
"4117","2466-FCCPT","Female","No","Yes","Yes",20,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.7,395.6,"No","19-24","15-30","<1000",0
"4118","6211-WWLTF","Male","No","Yes","No",63,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",99.7,6330.4,"No","60+","95+","6000+",0
"4119","4826-TZEVA","Female","No","No","No",40,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",74.8,2971.7,"No","25-60","70-80","2000-4000",0
"4120","6016-NXBNJ","Male","No","No","No",35,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.15,638,"No","25-60","15-30","<1000",0
"4121","9138-EFSMO","Male","No","Yes","Yes",26,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","No","Bank transfer (automatic)",78.95,2034.25,"No","25-60","70-80","2000-4000",0
"4122","0576-WNXXC","Male","Yes","Yes","No",27,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",95.55,2510.2,"Yes","25-60","95+","2000-4000",1
"4123","4632-XJMEX","Male","No","No","Yes",53,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",62.85,3419.5,"No","25-60","45-70","2000-4000",0
"4124","8910-LEDAG","Male","Yes","Yes","No",34,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",71.55,2427.35,"No","25-60","70-80","2000-4000",0
"4125","3452-GWUIN","Female","Yes","Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.95,1760.25,"No","19-24","80-95","1000-2000",0
"4126","2716-GFZOR","Male","No","Yes","No",43,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",86.1,3551.65,"No","25-60","80-95","2000-4000",0
"4127","3724-UCSHY","Male","No","Yes","Yes",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.55,122.9,"No","3-6","15-30","<1000",0
"4128","8626-XHBIE","Male","No","No","Yes",56,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.8,1424.2,"No","25-60","15-30","1000-2000",0
"4130","3192-LNKRK","Male","No","Yes","Yes",34,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",84.05,2909.95,"No","25-60","80-95","2000-4000",0
"4132","2876-VBBBL","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.25,20.25,"Yes","< 3","15-30","<1000",1
"4134","2208-UGTGR","Male","No","No","No",56,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",98.6,5581.05,"No","25-60","95+","4000-6000",0
"4135","3005-TYFRD","Female","No","Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",103.65,5676.65,"No","25-60","95+","4000-6000",0
"4136","8670-MEFCP","Female","No","Yes","Yes",36,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92.9,3379.25,"No","25-60","80-95","2000-4000",0
"4137","3079-BCHLN","Male","No","Yes","No",47,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.9,942.95,"No","25-60","15-30","<1000",0
"4138","7777-UNYHB","Female","No","Yes","Yes",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",20.1,232.4,"No","12-18","15-30","<1000",0
"4139","5597-GLBUC","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",85.45,85.45,"Yes","< 3","80-95","<1000",1
"4140","7278-CKDNC","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",80.5,2088.45,"No","19-24","80-95","2000-4000",0
"4141","2748-MYRVK","Female","No","No","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Bank transfer (automatic)",99.9,6137,"Yes","60+","95+","6000+",1
"4143","2969-VAPYH","Female","No","No","No",67,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",60.5,3870,"No","60+","45-70","2000-4000",0
"4144","4822-YCXMX","Male","No","No","No",25,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.8,2043.45,"Yes","25-60","80-95","2000-4000",1
"4145","7181-OQCUT","Male","No","No","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",103.85,2215,"No","19-24","95+","2000-4000",0
"4146","8474-UMLNT","Female","No","No","No",13,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",67.8,842.25,"No","12-18","45-70","<1000",0
"4147","9821-POOTN","Male","No","Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.2,2576.2,"Yes","25-60","70-80","2000-4000",1
"4148","3836-FZSDJ","Male","Yes","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.85,1901,"No","60+","15-30","1000-2000",0
"4149","9142-XMYJH","Female","No","No","No",29,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.35,601.6,"No","25-60","15-30","<1000",0
"4151","0187-QSXOE","Male","Yes","Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89,605.45,"No","7-11","80-95","<1000",0
"4153","2649-HWLYB","Male","No","Yes","No",65,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",76.15,4929.55,"No","60+","70-80","4000-6000",0
"4154","5214-CHIWJ","Male","No","No","No",27,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.3,595.05,"No","25-60","15-30","<1000",0
"4155","4229-CZMLL","Male","No","No","No",6,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,469.8,"Yes","3-6","70-80","<1000",1
"4156","6904-JLBGY","Female","Yes","No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",117.35,8436.25,"No","60+","95+","6000+",0
"4157","2465-BLLEU","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.75,19.75,"No","< 3","15-30","<1000",0
"4158","1685-VAYJF","Male","No","No","No",11,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",45.2,492,"No","7-11","45-70","<1000",0
"4159","8874-EJNSR","Male","No","Yes","Yes",39,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.2,987.95,"No","25-60","15-30","<1000",0
"4160","6917-YACBP","Female","Yes","No","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",89.75,5496.9,"No","25-60","80-95","4000-6000",0
"4161","5049-MUBWG","Male","No","No","No",26,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",75,1908.35,"No","25-60","70-80","1000-2000",0
"4162","4223-WOZCM","Male","Yes","No","No",2,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",49.95,107.1,"No","< 3","45-70","<1000",0
"4164","9253-VIFJQ","Male","No","Yes","No",65,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","One year","No","Credit card (automatic)",67.05,4309.55,"No","60+","45-70","4000-6000",0
"4165","7030-FZTFM","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",110.9,7922.75,"No","60+","95+","6000+",0
"4166","9741-YLNTD","Male","No","No","No",6,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",87.95,522.35,"No","3-6","80-95","<1000",0
"4167","5917-RYRMG","Male","Yes","No","No",32,"Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",19.8,587.7,"No","25-60","15-30","<1000",0
"4168","5120-ZBLAI","Female","No","Yes","No",50,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",75.7,3876.2,"No","25-60","70-80","2000-4000",0
"4170","3663-MITLP","Female","No","No","No",15,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.25,1457.25,"Yes","12-18","95+","1000-2000",1
"4171","0906-QVPMS","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",115.15,8349.45,"No","60+","95+","6000+",0
"4172","9025-ZRPVR","Male","No","No","No",9,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",18.95,185.6,"Yes","7-11","15-30","<1000",1
"4173","1905-OEILC","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.5,19.5,"No","< 3","15-30","<1000",0
"4174","7858-GTZSP","Female","No","No","No",12,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.55,1066.9,"No","12-18","80-95","1000-2000",0
"4176","6248-BSHKG","Male","No","Yes","Yes",61,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.4,1226.45,"No","60+","15-30","1000-2000",0
"4177","4685-TFLLS","Male","No","Yes","Yes",18,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,342.3,"No","12-18","15-30","<1000",0
"4178","3470-BTGQO","Male","No","No","Yes",21,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.65,985.05,"No","19-24","45-70","<1000",0
"4180","8224-DWCKX","Male","Yes","No","No",12,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.3,828.05,"No","12-18","70-80","<1000",0
"4182","4553-DVPZG","Female","No","Yes","No",62,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.35,6164.7,"No","60+","95+","6000+",0
"4183","4902-OHLSK","Female","Yes","No","No",29,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",98.65,2862.75,"Yes","25-60","95+","2000-4000",1
"4185","0495-ZBNGW","Male","Yes","Yes","No",5,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",79.9,343.95,"Yes","3-6","70-80","<1000",1
"4186","8620-RJPZN","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.7,20.7,"No","< 3","15-30","<1000",0
"4187","7572-KPVKK","Male","No","No","Yes",62,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",104.05,6590.5,"No","60+","95+","6000+",0
"4188","2642-MAWLJ","Female","No","Yes","Yes",36,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.25,717.95,"No","25-60","15-30","<1000",0
"4189","2357-COQEK","Female","Yes","No","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",103.3,2890.65,"Yes","25-60","95+","2000-4000",1
"4190","7103-ZGVNT","Female","No","Yes","Yes",69,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","One year","No","Credit card (automatic)",73.7,4885.85,"No","60+","70-80","4000-6000",0
"4191","3737-GCSPV","Female","No","Yes","No",11,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",96.2,1222.05,"Yes","7-11","95+","1000-2000",1
"4192","2027-WKXMW","Female","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",108.75,6871.7,"No","60+","95+","6000+",0
"4193","7137-NAXML","Male","No","No","No",23,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.15,405.6,"No","19-24","15-30","<1000",0
"4194","2428-ZMCTB","Male","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.75,208.25,"No","7-11","15-30","<1000",0
"4195","2961-VNFKL","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.95,1801.9,"No","60+","15-30","1000-2000",0
"4196","1768-HNVGJ","Female","Yes","No","No",45,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",70.05,3062.45,"No","25-60","70-80","2000-4000",0
"4197","6963-KQYQB","Female","No","Yes","Yes",70,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.05,1764.75,"No","60+","15-30","1000-2000",0
"4198","5934-RMPOV","Female","No","No","Yes",22,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.75,1816.75,"No","19-24","80-95","1000-2000",0
"4199","1207-BLKSA","Female","No","Yes","Yes",52,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",23.05,1255.1,"No","25-60","15-30","1000-2000",0
"4200","4088-YLDSU","Male","No","Yes","No",55,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",104.15,5743.05,"Yes","25-60","95+","4000-6000",1
"4202","1166-PQLGG","Female","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.55,1463.45,"No","60+","15-30","1000-2000",0
"4203","3146-JTQHR","Male","No","Yes","No",10,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.6,189.45,"No","7-11","15-30","<1000",0
"4204","4291-YZODP","Female","No","No","Yes",7,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.05,96.8,"No","7-11","15-30","<1000",0
"4205","4395-PZMSN","Male","Yes","No","No",5,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.55,408.5,"No","3-6","80-95","<1000",0
"4206","6427-FEFIG","Female","No","Yes","Yes",24,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",78.6,1846.65,"No","19-24","70-80","1000-2000",0
"4207","0017-IUDMW","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",116.8,8456.75,"No","60+","95+","6000+",0
"4210","4385-ZKVNW","Male","No","Yes","Yes",44,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",54.9,2549.1,"No","25-60","45-70","2000-4000",0
"4211","5446-DKWYW","Female","Yes","Yes","Yes",61,"Yes","Yes","DSL","No","No","Yes","No","Yes","No","One year","Yes","Electronic check",65.2,3965.05,"No","60+","45-70","2000-4000",0
"4212","2034-CGRHZ","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",102.95,2496.7,"Yes","19-24","95+","2000-4000",1
"4213","5797-APWZC","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",90.6,90.6,"Yes","< 3","80-95","<1000",1
"4214","3683-QKIUE","Female","No","No","No",6,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.8,288.05,"Yes","3-6","45-70","<1000",1
"4215","4228-ZGYUW","Male","No","No","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,368.1,"Yes","3-6","80-95","<1000",1
"4216","9031-ZVQPT","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.2,7840.6,"No","60+","95+","6000+",0
"4217","2990-IAJSV","Male","No","No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",92,6632.75,"No","60+","80-95","6000+",0
"4218","8107-KNCIM","Male","Yes","Yes","No",14,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.1,1013.35,"No","12-18","70-80","1000-2000",0
"4219","9027-YFHQJ","Male","No","No","No",7,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.05,152.95,"No","7-11","15-30","<1000",0
"4220","5176-LDKUH","Female","No","No","No",48,"Yes","No","Fiber optic","No","Yes","No","No","No","No","One year","No","Electronic check",75.15,3772.65,"No","25-60","70-80","2000-4000",0
"4221","4644-OBGFZ","Male","No","Yes","Yes",55,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.5,1026.35,"No","25-60","15-30","1000-2000",0
"4222","7926-IJOOU","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.3,19.3,"No","< 3","15-30","<1000",0
"4223","6480-YAGIY","Male","No","No","No",45,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",112.2,5031.85,"No","25-60","95+","4000-6000",0
"4224","4029-HPFVY","Male","No","No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.3,220.4,"No","3-6","70-80","<1000",0
"4225","7602-DBTOU","Female","No","Yes","No",71,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.6,1416.5,"No","60+","15-30","1000-2000",0
"4226","5345-BMKWB","Male","No","Yes","No",8,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.25,158.35,"No","7-11","15-30","<1000",0
"4227","3519-ZKXGG","Female","No","Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.85,256.6,"Yes","3-6","70-80","<1000",1
"4228","5457-COLHT","Male","No","Yes","Yes",69,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.65,5542.55,"No","60+","80-95","4000-6000",0
"4229","6416-TVAIH","Male","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",68.5,68.5,"Yes","< 3","45-70","<1000",1
